cwe_link,cwe_name,cwe_number,,
https://cwe.mitre.org/data/definitions/822.html,Untrusted Pointer Dereference,822,,
https://cwe.mitre.org/data/definitions/823.html,Use of Out-of-range Pointer Offset,823,,
https://cwe.mitre.org/data/definitions/824.html,Access of Uninitialized Pointer,824,,
https://cwe.mitre.org/data/definitions/825.html,Expired Pointer Dereference,825,,
https://cwe.mitre.org/data/definitions/415.html,Double Free,415,,
https://cwe.mitre.org/data/definitions/416.html,Use After Free,416,,
https://cwe.mitre.org/data/definitions/330.html,Use of Insufficiently Random Values,330,,
https://cwe.mitre.org/data/definitions/329.html,Not Using a Random IV with CBC Mode,329,,
https://cwe.mitre.org/data/definitions/331.html,Insufficient Entropy,331,,
https://cwe.mitre.org/data/definitions/332.html,Insufficient Entropy in PRNG,332,,
https://cwe.mitre.org/data/definitions/333.html,Improper Handling of Insufficient Entropy in TRNG,333,,
https://cwe.mitre.org/data/definitions/334.html,Small Space of Random Values,334,,
https://cwe.mitre.org/data/definitions/6.html,J2EE Misconfiguration: Insufficient Session-ID Length,6,,
https://cwe.mitre.org/data/definitions/335.html,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),335,,
https://cwe.mitre.org/data/definitions/336.html,Same Seed in Pseudo-Random Number Generator (PRNG),336,,
https://cwe.mitre.org/data/definitions/337.html,Predictable Seed in Pseudo-Random Number Generator (PRNG),337,,
https://cwe.mitre.org/data/definitions/339.html,Small Seed Space in PRNG,339,,
https://cwe.mitre.org/data/definitions/338.html,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),338,,
https://cwe.mitre.org/data/definitions/340.html,Predictability Problems,340,,
https://cwe.mitre.org/data/definitions/341.html,Predictable from Observable State,341,,
https://cwe.mitre.org/data/definitions/342.html,Predictable Exact Value from Previous Values,342,,
https://cwe.mitre.org/data/definitions/343.html,Predictable Value Range from Previous Values,343,,
https://cwe.mitre.org/data/definitions/344.html,Use of Invariant Value in Dynamically Changing Context,344,,
https://cwe.mitre.org/data/definitions/323.html,"Reusing a Nonce, Key Pair in Encryption",323,,
https://cwe.mitre.org/data/definitions/587.html,Assignment of a Fixed Address to a Pointer,587,,
https://cwe.mitre.org/data/definitions/259.html,Use of Hard-coded Password,259,,
https://cwe.mitre.org/data/definitions/321.html,Use of Hard-coded Cryptographic Key,321,,
https://cwe.mitre.org/data/definitions/435.html,Improper Interaction Between Multiple Correctly-Behaving Entities,435,,
https://cwe.mitre.org/data/definitions/1038.html,Insecure Automated Optimizations,1038,,
https://cwe.mitre.org/data/definitions/1037.html,Processor Optimization Removal or Modification of Security-critical Code,1037,,
https://cwe.mitre.org/data/definitions/733.html,Compiler Optimization Removal or Modification of Security-critical Code,733,,
https://cwe.mitre.org/data/definitions/14.html,Compiler Removal of Code to Clear Buffers,14,,
https://cwe.mitre.org/data/definitions/198.html,Use of Incorrect Byte Ordering,198,,
https://cwe.mitre.org/data/definitions/436.html,Interpretation Conflict,436,,
https://cwe.mitre.org/data/definitions/115.html,Misinterpretation of Input,115,,
https://cwe.mitre.org/data/definitions/437.html,Incomplete Model of Endpoint Features,437,,
https://cwe.mitre.org/data/definitions/444.html,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),444,,
https://cwe.mitre.org/data/definitions/650.html,Trusting HTTP Permission Methods on the Server Side,650,,
https://cwe.mitre.org/data/definitions/439.html,Behavioral Change in New Version or Environment,439,,
https://cwe.mitre.org/data/definitions/664.html,Improper Control of a Resource Through its Lifetime,664,,
https://cwe.mitre.org/data/definitions/216.html,Containment Errors (Container Errors),216,,
https://cwe.mitre.org/data/definitions/433.html,Unparsed Raw Web Content Delivery,433,,
https://cwe.mitre.org/data/definitions/500.html,Public Static Field Not Marked Final,500,,
https://cwe.mitre.org/data/definitions/221.html,Information Loss or Omission,221,,
https://cwe.mitre.org/data/definitions/222.html,Truncation of Security-relevant Information,222,,
https://cwe.mitre.org/data/definitions/223.html,Omission of Security-relevant Information,223,,
https://cwe.mitre.org/data/definitions/778.html,Insufficient Logging,778,,
https://cwe.mitre.org/data/definitions/224.html,Obscured Security-relevant Information by Alternate Name,224,,
https://cwe.mitre.org/data/definitions/356.html,Product UI does not Warn User of Unsafe Actions,356,,
https://cwe.mitre.org/data/definitions/1007.html,Insufficient Visual Distinction of Homoglyphs Presented to User,1007,,
https://cwe.mitre.org/data/definitions/269.html,Improper Privilege Management,269,,
https://cwe.mitre.org/data/definitions/266.html,Incorrect Privilege Assignment,266,,
https://cwe.mitre.org/data/definitions/1022.html,Use of Web Link to Untrusted Target with window.opener Access,1022,,
https://cwe.mitre.org/data/definitions/520.html,.NET Misconfiguration: Use of Impersonation,520,,
https://cwe.mitre.org/data/definitions/556.html,ASP.NET Misconfiguration: Use of Identity Impersonation,556,,
https://cwe.mitre.org/data/definitions/9.html,J2EE Misconfiguration: Weak Access Permissions for EJB Methods,9,,
https://cwe.mitre.org/data/definitions/267.html,Privilege Defined With Unsafe Actions,267,,
https://cwe.mitre.org/data/definitions/623.html,Unsafe ActiveX Control Marked Safe For Scripting,623,,
https://cwe.mitre.org/data/definitions/268.html,Privilege Chaining,268,,
https://cwe.mitre.org/data/definitions/270.html,Privilege Context Switching Error,270,,
https://cwe.mitre.org/data/definitions/271.html,Privilege Dropping / Lowering Errors,271,,
https://cwe.mitre.org/data/definitions/272.html,Least Privilege Violation,272,,
https://cwe.mitre.org/data/definitions/648.html,Incorrect Use of Privileged APIs,648,,
https://cwe.mitre.org/data/definitions/282.html,Improper Ownership Management,282,,
https://cwe.mitre.org/data/definitions/283.html,Unverified Ownership,283,,
https://cwe.mitre.org/data/definitions/708.html,Incorrect Ownership Assignment,708,,
https://cwe.mitre.org/data/definitions/285.html,Improper Authorization,285,,
https://cwe.mitre.org/data/definitions/219.html,Sensitive Data Under Web Root,219,,
https://cwe.mitre.org/data/definitions/433.html,Unparsed Raw Web Content Delivery,433,,
https://cwe.mitre.org/data/definitions/732.html,Incorrect Permission Assignment for Critical Resource,732,,
https://cwe.mitre.org/data/definitions/1004.html,Sensitive Cookie Without 'HttpOnly' Flag,1004,,
https://cwe.mitre.org/data/definitions/276.html,Incorrect Default Permissions,276,,
https://cwe.mitre.org/data/definitions/277.html,Insecure Inherited Permissions,277,,
https://cwe.mitre.org/data/definitions/278.html,Insecure Preserved Inherited Permissions,278,,
https://cwe.mitre.org/data/definitions/279.html,Incorrect Execution-Assigned Permissions,279,,
https://cwe.mitre.org/data/definitions/281.html,Improper Preservation of Permissions,281,,
https://cwe.mitre.org/data/definitions/689.html,Permission Race Condition During Resource Copy,689,,
https://cwe.mitre.org/data/definitions/862.html,Missing Authorization,862,,
https://cwe.mitre.org/data/definitions/425.html,Direct Request ('Forced Browsing'),425,,
https://cwe.mitre.org/data/definitions/424.html,Improper Protection of Alternate Path,424,,
https://cwe.mitre.org/data/definitions/939.html,Improper Authorization in Handler for Custom URL Scheme,939,,
https://cwe.mitre.org/data/definitions/863.html,Incorrect Authorization,863,,
https://cwe.mitre.org/data/definitions/551.html,Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,551,,
https://cwe.mitre.org/data/definitions/639.html,Authorization Bypass Through User-Controlled Key,639,,
https://cwe.mitre.org/data/definitions/566.html,Authorization Bypass Through User-Controlled SQL Primary Key,566,,
https://cwe.mitre.org/data/definitions/647.html,Use of Non-Canonical URL Paths for Authorization Decisions,647,,
https://cwe.mitre.org/data/definitions/804.html,Guessable CAPTCHA,804,,
https://cwe.mitre.org/data/definitions/926.html,Improper Export of Android Application Components,926,,
https://cwe.mitre.org/data/definitions/927.html,Use of Implicit Intent for Sensitive Communication,927,,
https://cwe.mitre.org/data/definitions/286.html,Incorrect User Management,286,,
https://cwe.mitre.org/data/definitions/842.html,Placement of User into Incorrect Group,842,,
https://cwe.mitre.org/data/definitions/287.html,Improper Authentication,287,,
https://cwe.mitre.org/data/definitions/261.html,Weak Cryptography for Passwords,261,,
https://cwe.mitre.org/data/definitions/262.html,Not Using Password Aging,262,,
https://cwe.mitre.org/data/definitions/263.html,Password Aging with Long Expiration,263,,
https://cwe.mitre.org/data/definitions/288.html,Authentication Bypass Using an Alternate Path or Channel,288,,
https://cwe.mitre.org/data/definitions/289.html,Authentication Bypass by Alternate Name,289,,
https://cwe.mitre.org/data/definitions/290.html,Authentication Bypass by Spoofing,290,,
https://cwe.mitre.org/data/definitions/291.html,Reliance on IP Address for Authentication,291,,
https://cwe.mitre.org/data/definitions/293.html,Using Referer Field for Authentication,293,,
https://cwe.mitre.org/data/definitions/350.html,Reliance on Reverse DNS Resolution for a Security-Critical Action,350,,
https://cwe.mitre.org/data/definitions/294.html,Authentication Bypass by Capture-replay,294,,
https://cwe.mitre.org/data/definitions/295.html,Improper Certificate Validation,295,,
https://cwe.mitre.org/data/definitions/296.html,Improper Following of a Certificate's Chain of Trust,296,,
https://cwe.mitre.org/data/definitions/298.html,Improper Validation of Certificate Expiration,298,,
https://cwe.mitre.org/data/definitions/299.html,Improper Check for Certificate Revocation,299,,
https://cwe.mitre.org/data/definitions/370.html,Missing Check for Certificate Revocation after Initial Check,370,,
https://cwe.mitre.org/data/definitions/599.html,Missing Validation of OpenSSL Certificate,599,,
https://cwe.mitre.org/data/definitions/301.html,Reflection Attack in an Authentication Protocol,301,,
https://cwe.mitre.org/data/definitions/302.html,Authentication Bypass by Assumed-Immutable Data,302,,
https://cwe.mitre.org/data/definitions/303.html,Incorrect Implementation of Authentication Algorithm,303,,
https://cwe.mitre.org/data/definitions/304.html,Missing Critical Step in Authentication,304,,
https://cwe.mitre.org/data/definitions/305.html,Authentication Bypass by Primary Weakness,305,,
https://cwe.mitre.org/data/definitions/306.html,Missing Authentication for Critical Function,306,,
https://cwe.mitre.org/data/definitions/307.html,Improper Restriction of Excessive Authentication Attempts,307,,
https://cwe.mitre.org/data/definitions/308.html,Use of Single-factor Authentication,308,,
https://cwe.mitre.org/data/definitions/309.html,Use of Password System for Primary Authentication,309,,
https://cwe.mitre.org/data/definitions/521.html,Weak Password Requirements,521,,
https://cwe.mitre.org/data/definitions/522.html,Insufficiently Protected Credentials,522,,
https://cwe.mitre.org/data/definitions/256.html,Unprotected Storage of Credentials,256,,
https://cwe.mitre.org/data/definitions/257.html,Storing Passwords in a Recoverable Format,257,,
https://cwe.mitre.org/data/definitions/260.html,Password in Configuration File,260,,
https://cwe.mitre.org/data/definitions/13.html,ASP.NET Misconfiguration: Password in Configuration File,13,,
https://cwe.mitre.org/data/definitions/258.html,Empty Password in Configuration File,258,,
https://cwe.mitre.org/data/definitions/523.html,Unprotected Transport of Credentials,523,,
https://cwe.mitre.org/data/definitions/549.html,Missing Password Field Masking,549,,
https://cwe.mitre.org/data/definitions/555.html,J2EE Misconfiguration: Plaintext Password in Configuration File,555,,
https://cwe.mitre.org/data/definitions/620.html,Unverified Password Change,620,,
https://cwe.mitre.org/data/definitions/640.html,Weak Password Recovery Mechanism for Forgotten Password,640,,
https://cwe.mitre.org/data/definitions/645.html,Overly Restrictive Account Lockout Mechanism,645,,
https://cwe.mitre.org/data/definitions/798.html,Use of Hard-coded Credentials,798,,
https://cwe.mitre.org/data/definitions/259.html,Use of Hard-coded Password,259,,
https://cwe.mitre.org/data/definitions/321.html,Use of Hard-coded Cryptographic Key,321,,
https://cwe.mitre.org/data/definitions/836.html,Use of Password Hash Instead of Password for Authentication,836,,
https://cwe.mitre.org/data/definitions/923.html,Improper Restriction of Communication Channel to Intended Endpoints,923,,
https://cwe.mitre.org/data/definitions/297.html,Improper Validation of Certificate with Host Mismatch,297,,
https://cwe.mitre.org/data/definitions/300.html,Channel Accessible by Non-Endpoint ('Man-in-the-Middle'),300,,
https://cwe.mitre.org/data/definitions/322.html,Key Exchange without Entity Authentication,322,,
https://cwe.mitre.org/data/definitions/419.html,Unprotected Primary Channel,419,,
https://cwe.mitre.org/data/definitions/420.html,Unprotected Alternate Channel,420,,
https://cwe.mitre.org/data/definitions/421.html,Race Condition During Access to Alternate Channel,421,,
https://cwe.mitre.org/data/definitions/422.html,Unprotected Windows Messaging Channel ('Shatter'),422,,
https://cwe.mitre.org/data/definitions/925.html,Improper Verification of Intent by Broadcast Receiver,925,,
https://cwe.mitre.org/data/definitions/940.html,Improper Verification of Source of a Communication Channel,940,,
https://cwe.mitre.org/data/definitions/941.html,Incorrectly Specified Destination in a Communication Channel,941,,
https://cwe.mitre.org/data/definitions/942.html,Overly Permissive Cross-domain Whitelist,942,,
https://cwe.mitre.org/data/definitions/372.html,Incomplete Internal State Distinction,372,,
https://cwe.mitre.org/data/definitions/400.html,Uncontrolled Resource Consumption,400,,
https://cwe.mitre.org/data/definitions/770.html,Allocation of Resources Without Limits or Throttling,770,,
https://cwe.mitre.org/data/definitions/774.html,Allocation of File Descriptors or Handles Without Limits or Throttling,774,,
https://cwe.mitre.org/data/definitions/789.html,Uncontrolled Memory Allocation,789,,
https://cwe.mitre.org/data/definitions/771.html,Missing Reference to Active Allocated Resource,771,,
https://cwe.mitre.org/data/definitions/773.html,Missing Reference to Active File Descriptor or Handle,773,,
https://cwe.mitre.org/data/definitions/779.html,Logging of Excessive Data,779,,
https://cwe.mitre.org/data/definitions/920.html,Improper Restriction of Power Consumption,920,,
https://cwe.mitre.org/data/definitions/404.html,Improper Resource Shutdown or Release,404,,
https://cwe.mitre.org/data/definitions/370.html,Missing Check for Certificate Revocation after Initial Check,370,,
https://cwe.mitre.org/data/definitions/459.html,Incomplete Cleanup,459,,
https://cwe.mitre.org/data/definitions/226.html,Sensitive Information Uncleared Before Release,226,,
https://cwe.mitre.org/data/definitions/244.html,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),244,,
https://cwe.mitre.org/data/definitions/460.html,Improper Cleanup on Thrown Exception,460,,
https://cwe.mitre.org/data/definitions/568.html,finalize() Method Without super.finalize(),568,,
https://cwe.mitre.org/data/definitions/763.html,Release of Invalid Pointer or Reference,763,,
https://cwe.mitre.org/data/definitions/761.html,Free of Pointer not at Start of Buffer,761,,
https://cwe.mitre.org/data/definitions/762.html,Mismatched Memory Management Routines,762,,
https://cwe.mitre.org/data/definitions/590.html,Free of Memory not on the Heap,590,,
https://cwe.mitre.org/data/definitions/772.html,Missing Release of Resource after Effective Lifetime,772,,
https://cwe.mitre.org/data/definitions/1091.html,Use of Object without Invoking Destructor Method,1091,,
https://cwe.mitre.org/data/definitions/401.html,Missing Release of Memory after Effective Lifetime,401,,
https://cwe.mitre.org/data/definitions/775.html,Missing Release of File Descriptor or Handle after Effective Lifetime,775,,
https://cwe.mitre.org/data/definitions/405.html,Asymmetric Resource Consumption (Amplification),405,,
https://cwe.mitre.org/data/definitions/1050.html,Excessive Platform Resource Consumption within a Loop,1050,,
https://cwe.mitre.org/data/definitions/1072.html,Data Resource Access without Use of Connection Pooling,1072,,
https://cwe.mitre.org/data/definitions/1073.html,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,1073,,
https://cwe.mitre.org/data/definitions/1084.html,Invokable Control Element with Excessive File or Data Access Operations,1084,,
https://cwe.mitre.org/data/definitions/1089.html,Large Data Table with Excessive Number of Indices,1089,,
https://cwe.mitre.org/data/definitions/1094.html,Excessive Index Range Scan for a Data Resource,1094,,
https://cwe.mitre.org/data/definitions/1176.html,Inefficient CPU Computation,1176,,
https://cwe.mitre.org/data/definitions/1042.html,Static Member Data Element outside of a Singleton Class Element,1042,,
https://cwe.mitre.org/data/definitions/1046.html,Creation of Immutable Text Using String Concatenation,1046,,
https://cwe.mitre.org/data/definitions/1049.html,Excessive Data Query Operations in a Large Data Table,1049,,
https://cwe.mitre.org/data/definitions/1063.html,Creation of Class Instance within a Static Code Block,1063,,
https://cwe.mitre.org/data/definitions/1067.html,Excessive Execution of Sequential Searches of Data Resource,1067,,
https://cwe.mitre.org/data/definitions/406.html,Insufficient Control of Network Message Volume (Network Amplification),406,,
https://cwe.mitre.org/data/definitions/407.html,Inefficient Algorithmic Complexity,407,,
https://cwe.mitre.org/data/definitions/409.html,Improper Handling of Highly Compressed Data (Data Amplification),409,,
https://cwe.mitre.org/data/definitions/410.html,Insufficient Resource Pool,410,,
https://cwe.mitre.org/data/definitions/471.html,Modification of Assumed-Immutable Data (MAID),471,,
https://cwe.mitre.org/data/definitions/473.html,PHP External Variable Modification,473,,
https://cwe.mitre.org/data/definitions/607.html,Public Static Final Field References Mutable Object,607,,
https://cwe.mitre.org/data/definitions/487.html,Reliance on Package-level Scope,487,,
https://cwe.mitre.org/data/definitions/488.html,Exposure of Data Element to Wrong Session,488,,
https://cwe.mitre.org/data/definitions/495.html,Private Data Structure Returned From A Public Method,495,,
https://cwe.mitre.org/data/definitions/496.html,Public Data Assigned to Private Array-Typed Field,496,,
https://cwe.mitre.org/data/definitions/498.html,Cloneable Class Containing Sensitive Information,498,,
https://cwe.mitre.org/data/definitions/499.html,Serializable Class Containing Sensitive Data,499,,
https://cwe.mitre.org/data/definitions/501.html,Trust Boundary Violation,501,,
https://cwe.mitre.org/data/definitions/580.html,clone() Method Without super.clone(),580,,
https://cwe.mitre.org/data/definitions/610.html,Externally Controlled Reference to a Resource in Another Sphere,610,,
https://cwe.mitre.org/data/definitions/384.html,Session Fixation,384,,
https://cwe.mitre.org/data/definitions/441.html,Unintended Proxy or Intermediary ('Confused Deputy'),441,,
https://cwe.mitre.org/data/definitions/1021.html,Improper Restriction of Rendered UI Layers or Frames,1021,,
https://cwe.mitre.org/data/definitions/918.html,Server-Side Request Forgery (SSRF),918,,
https://cwe.mitre.org/data/definitions/601.html,URL Redirection to Untrusted Site ('Open Redirect'),601,,
https://cwe.mitre.org/data/definitions/611.html,Improper Restriction of XML External Entity Reference,611,,
https://cwe.mitre.org/data/definitions/662.html,Improper Synchronization,662,,
https://cwe.mitre.org/data/definitions/1058.html,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,1058,,
https://cwe.mitre.org/data/definitions/663.html,Use of a Non-reentrant Function in a Concurrent Context,663,,
https://cwe.mitre.org/data/definitions/558.html,Use of getlogin() in Multithreaded Application,558,,
https://cwe.mitre.org/data/definitions/667.html,Improper Locking,667,,
https://cwe.mitre.org/data/definitions/412.html,Unrestricted Externally Accessible Lock,412,,
https://cwe.mitre.org/data/definitions/413.html,Improper Resource Locking,413,,
https://cwe.mitre.org/data/definitions/591.html,Sensitive Data Storage in Improperly Locked Memory,591,,
https://cwe.mitre.org/data/definitions/414.html,Missing Lock Check,414,,
https://cwe.mitre.org/data/definitions/609.html,Double-Checked Locking,609,,
https://cwe.mitre.org/data/definitions/764.html,Multiple Locks of a Critical Resource,764,,
https://cwe.mitre.org/data/definitions/765.html,Multiple Unlocks of a Critical Resource,765,,
https://cwe.mitre.org/data/definitions/832.html,Unlock of a Resource that is not Locked,832,,
https://cwe.mitre.org/data/definitions/833.html,Deadlock,833,,
https://cwe.mitre.org/data/definitions/820.html,Missing Synchronization,820,,
https://cwe.mitre.org/data/definitions/1096.html,Singleton Class Instance Creation without Proper Locking or Synchronization,1096,,
https://cwe.mitre.org/data/definitions/543.html,Use of Singleton Pattern Without Synchronization in a Multithreaded Context,543,,
https://cwe.mitre.org/data/definitions/567.html,Unsynchronized Access to Shared Data in a Multithreaded Context,567,,
https://cwe.mitre.org/data/definitions/821.html,Incorrect Synchronization,821,,
https://cwe.mitre.org/data/definitions/1088.html,Synchronous Access of Remote Resource without Timeout,1088,,
https://cwe.mitre.org/data/definitions/572.html,Call to Thread run() instead of start(),572,,
https://cwe.mitre.org/data/definitions/574.html,EJB Bad Practices: Use of Synchronization Primitives,574,,
https://cwe.mitre.org/data/definitions/665.html,Improper Initialization,665,,
https://cwe.mitre.org/data/definitions/1051.html,Initialization with Hard-Coded Network Resource Configuration Data,1051,,
https://cwe.mitre.org/data/definitions/1052.html,Excessive Use of Hard-Coded Literals in Initialization,1052,,
https://cwe.mitre.org/data/definitions/1187.html,Use of Uninitialized Resource,1187,,
https://cwe.mitre.org/data/definitions/457.html,Use of Uninitialized Variable,457,,
https://cwe.mitre.org/data/definitions/1188.html,Insecure Default Initialization of Resource,1188,,
https://cwe.mitre.org/data/definitions/453.html,Insecure Default Variable Initialization,453,,
https://cwe.mitre.org/data/definitions/454.html,External Initialization of Trusted Variables or Data Stores,454,,
https://cwe.mitre.org/data/definitions/774.html,Allocation of File Descriptors or Handles Without Limits or Throttling,774,,
https://cwe.mitre.org/data/definitions/789.html,Uncontrolled Memory Allocation,789,,
https://cwe.mitre.org/data/definitions/909.html,Missing Initialization of Resource,909,,
https://cwe.mitre.org/data/definitions/456.html,Missing Initialization of a Variable,456,,
https://cwe.mitre.org/data/definitions/666.html,Operation on Resource in Wrong Phase of Lifetime,666,,
https://cwe.mitre.org/data/definitions/593.html,Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,593,,
https://cwe.mitre.org/data/definitions/672.html,Operation on a Resource after Expiration or Release,672,,
https://cwe.mitre.org/data/definitions/324.html,Use of a Key Past its Expiration Date,324,,
https://cwe.mitre.org/data/definitions/613.html,Insufficient Session Expiration,613,,
https://cwe.mitre.org/data/definitions/415.html,Double Free,415,,
https://cwe.mitre.org/data/definitions/416.html,Use After Free,416,,
https://cwe.mitre.org/data/definitions/910.html,Use of Expired File Descriptor,910,,
https://cwe.mitre.org/data/definitions/826.html,Premature Release of Resource During Expected Lifetime,826,,
https://cwe.mitre.org/data/definitions/668.html,Exposure of Resource to Wrong Sphere,668,,
https://cwe.mitre.org/data/definitions/134.html,Use of Externally-Controlled Format String,134,,
https://cwe.mitre.org/data/definitions/200.html,Information Exposure,200,,
https://cwe.mitre.org/data/definitions/201.html,Information Exposure Through Sent Data,201,,
https://cwe.mitre.org/data/definitions/203.html,Information Exposure Through Discrepancy,203,,
https://cwe.mitre.org/data/definitions/204.html,Response Discrepancy Information Exposure,204,,
https://cwe.mitre.org/data/definitions/205.html,Information Exposure Through Behavioral Discrepancy,205,,
https://cwe.mitre.org/data/definitions/206.html,Information Exposure of Internal State Through Behavioral Inconsistency,206,,
https://cwe.mitre.org/data/definitions/207.html,Information Exposure Through an External Behavioral Inconsistency,207,,
https://cwe.mitre.org/data/definitions/208.html,Information Exposure Through Timing Discrepancy,208,,
https://cwe.mitre.org/data/definitions/209.html,Information Exposure Through an Error Message,209,,
https://cwe.mitre.org/data/definitions/210.html,Information Exposure Through Self-generated Error Message,210,,
https://cwe.mitre.org/data/definitions/535.html,Information Exposure Through Shell Error Message,535,,
https://cwe.mitre.org/data/definitions/536.html,Information Exposure Through Servlet Runtime Error Message,536,,
https://cwe.mitre.org/data/definitions/537.html,Information Exposure Through Java Runtime Error Message,537,,
https://cwe.mitre.org/data/definitions/211.html,Information Exposure Through Externally-Generated Error Message,211,,
https://cwe.mitre.org/data/definitions/550.html,Information Exposure Through Server Error Message,550,,
https://cwe.mitre.org/data/definitions/212.html,Improper Cross-boundary Removal of Sensitive Data,212,,
https://cwe.mitre.org/data/definitions/213.html,Intentional Information Exposure,213,,
https://cwe.mitre.org/data/definitions/214.html,Information Exposure Through Process Environment,214,,
https://cwe.mitre.org/data/definitions/215.html,Information Exposure Through Debug Information,215,,
https://cwe.mitre.org/data/definitions/11.html,ASP.NET Misconfiguration: Creating Debug Binary,11,,
https://cwe.mitre.org/data/definitions/244.html,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),244,,
https://cwe.mitre.org/data/definitions/359.html,Exposure of Private Information ('Privacy Violation'),359,,
https://cwe.mitre.org/data/definitions/202.html,Exposure of Sensitive Data Through Data Queries,202,,
https://cwe.mitre.org/data/definitions/497.html,Exposure of System Data to an Unauthorized Control Sphere,497,,
https://cwe.mitre.org/data/definitions/524.html,Information Exposure Through Caching,524,,
https://cwe.mitre.org/data/definitions/525.html,Information Exposure Through Browser Caching,525,,
https://cwe.mitre.org/data/definitions/526.html,Information Exposure Through Environmental Variables,526,,
https://cwe.mitre.org/data/definitions/538.html,File and Directory Information Exposure,538,,
https://cwe.mitre.org/data/definitions/527.html,Exposure of CVS Repository to an Unauthorized Control Sphere,527,,
https://cwe.mitre.org/data/definitions/528.html,Exposure of Core Dump File to an Unauthorized Control Sphere,528,,
https://cwe.mitre.org/data/definitions/529.html,Exposure of Access Control List Files to an Unauthorized Control Sphere,529,,
https://cwe.mitre.org/data/definitions/530.html,Exposure of Backup File to an Unauthorized Control Sphere,530,,
https://cwe.mitre.org/data/definitions/532.html,Inclusion of Sensitive Information in Log Files,532,,
https://cwe.mitre.org/data/definitions/539.html,Information Exposure Through Persistent Cookies,539,,
https://cwe.mitre.org/data/definitions/540.html,Information Exposure Through Source Code,540,,
https://cwe.mitre.org/data/definitions/531.html,Information Exposure Through Test Code,531,,
https://cwe.mitre.org/data/definitions/541.html,Information Exposure Through Include Source Code,541,,
https://cwe.mitre.org/data/definitions/615.html,Information Exposure Through Comments,615,,
https://cwe.mitre.org/data/definitions/548.html,Information Exposure Through Directory Listing,548,,
https://cwe.mitre.org/data/definitions/651.html,Information Exposure Through WSDL File,651,,
https://cwe.mitre.org/data/definitions/598.html,Information Exposure Through Query Strings in GET Request,598,,
https://cwe.mitre.org/data/definitions/612.html,Information Exposure Through Indexing of Private Data,612,,
https://cwe.mitre.org/data/definitions/23.html,Relative Path Traversal,23,,
https://cwe.mitre.org/data/definitions/24.html,Path Traversal: '../filedir',24,,
https://cwe.mitre.org/data/definitions/25.html,Path Traversal: '/../filedir',25,,
