Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created - (593),29,10081010593,The software modifies the SSL context after connection creation has begun.,10081010
Use of Client-Side Authentication - (603),30,10081010603,"A client/server product performs authentication within client code but not in server code, allowing server-side authentication to be bypassed via a modified client that omits the authentication check.",10081010
Unverified Password Change - (620),31,10081010620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",10081010
Weak Password Recovery Mechanism for Forgotten Password - (640),32,10081010640,"The software contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.",10081010
Use of Hard-coded Credentials - (798),33,10081010798,"The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",10081010
Use of Password Hash Instead of Password for Authentication - (836),34,10081010836,"The software records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",10081010
Use of Password Hash With Insufficient Computational Effort - (916),35,10081010916,"The software generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive.",10081010
Authorize Actors - (1011),36,10081011,"Weaknesses in this category are related to the design and architecture of a system's authorization components. Frequently these deal with enforcing that agents have the required permissions before performing certain operations, such as modifying data. The weaknesses in this category could lead to a degradation of quality of the authorization capability if they are not addressed when designing or implementing a secure architecture.",0
Process Control - (114),37,10081011114,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,10081011
External Control of System or Configuration Setting - (15),38,1008101115,One or more system settings or configuration elements can be externally controlled by a user.,10081011
Storage of File with Sensitive Data Under Web Root - (219),39,10081011219,"The application stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.",10081011
Storage of File With Sensitive Data Under FTP Root - (220),40,10081011220,"The application stores sensitive data under the FTP server root with insufficient access control, which might make it accessible to untrusted parties.",10081011
Incorrect Privilege Assignment - (266),41,10081011266,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.",10081011
Privilege Defined With Unsafe Actions - (267),42,10081011267,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity.",10081011
Privilege Chaining - (268),43,10081011268,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",10081011
Improper Privilege Management - (269),44,10081011269,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor.",10081011
Privilege Context Switching Error - (270),45,10081011270,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.,10081011
Privilege Dropping / Lowering Errors - (271),46,10081011271,The software does not drop privileges before passing control of a resource to an actor that does not have those privileges.,10081011
Least Privilege Violation - (272),47,10081011272,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.,10081011
Improper Check for Dropped Privileges - (273),48,10081011273,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.,10081011
Improper Handling of Insufficient Privileges - (274),49,10081011274,"The software does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses.",10081011
Incorrect Default Permissions - (276),50,10081011276,"The product, upon installation, sets incorrect permissions for an object that exposes it to an unintended actor.",10081011
Insecure Inherited Permissions - (277),51,10081011277,A product defines a set of insecure permissions that are inherited by objects that are created by the program.,10081011
Incorrect Execution-Assigned Permissions - (279),52,10081011279,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user.",10081011
Improper Handling of Insufficient Permissions or Privileges  - (280),53,10081011280,The application does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the application in an invalid state.,10081011
Improper Preservation of Permissions - (281),54,10081011281,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended.",10081011
Improper Ownership Management - (282),55,10081011282,"The software assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.",10081011
Unverified Ownership - (283),56,10081011283,The software does not properly verify that a critical resource is owned by the proper entity.,10081011
Improper Access Control - (284),57,10081011284,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor.Authorization,10081011
Improper Authorization - (285),58,10081011285,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.AuthZ,10081011
Incorrect User Management - (286),59,10081011286,The software does not properly manage a user within its environment.,10081011
Channel Accessible by Non-Endpoint - (300),60,10081011300,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint.Man-in-the-Middle / MITMPerson-in-the-Middle / PiTMMonkey-in-the-MiddleMonster-in-the-Middle",10081011
Predictable from Observable State - (341),61,10081011341,"A number or object is predictable based on observations that the attacker can make about the state of the system or network, such as time, process ID, etc.",10081011
Exposure of Private Personal Information to an Unauthorized Actor - (359),62,10081011359,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected.Privacy violationPrivacy leakPrivacy leakage",10081011
Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak') - (403),63,10081011403,"A process does not close sensitive file descriptors before invoking a child process, which allows the child to perform unauthorized I/O operations using those descriptors.File descriptor leak",10081011
Unprotected Primary Channel - (419),64,10081011419,"The software uses a primary channel for administration or restricted functionality, but it does not properly protect the channel.",10081011
Unprotected Alternate Channel - (420),65,10081011420,"The software protects a primary channel, but it does not use the same level of protection for an alternate channel.",10081011
Direct Request ('Forced Browsing') - (425),66,10081011425,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.forced browsing",10081011
Untrusted Search Path - (426),67,10081011426,The application searches for critical resources using an externally-supplied search path that can point to resources that are not under the application's direct control.Untrusted Path,10081011
Unrestricted Upload of File with Dangerous Type - (434),68,10081011434,The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.Unrestricted File Upload,10081011
Exposure of Version-Control Repository to an Unauthorized Control Sphere - (527),69,10081011527,"The product stores a CVS, git, or other repository in a directory, archive, or other resource that is stored, transferred, or otherwise made accessible to unauthorized actors.",10081011
Exposure of Core Dump File to an Unauthorized Control Sphere - (528),70,10081011528,"The product generates a core dump file in a directory, archive, or other resource that is stored, transferred, or otherwise made accessible to unauthorized actors.",10081011
Exposure of Access Control List Files to an Unauthorized Control Sphere - (529),71,10081011529,The product stores access control list files in a directory or other container that is accessible to actors outside of the intended control sphere.,10081011
Exposure of Backup File to an Unauthorized Control Sphere - (530),72,10081011530,A backup file is stored in a directory or archive that is made accessible to unauthorized actors.,10081011
Insertion of Sensitive Information into Externally-Accessible File or Directory - (538),73,10081011538,"The product places sensitive information into files or directories that are accessible to actors who are allowed to have access to the files, but not to the sensitive information.",10081011
Incorrect Behavior Order: Authorization Before Parsing and Canonicalization - (551),74,10081011551,"If a web server does not fully parse requested URLs before it examines them for authorization, it may be possible for an attacker to bypass authorization protection.",10081011
Files or Directories Accessible to External Parties - (552),75,10081011552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",10081011
Authorization Bypass Through User-Controlled SQL Primary Key - (566),76,10081011566,"The software uses a database table that includes records that should not be accessible to an actor, but it executes a SQL statement with a primary key that can be controlled by that actor.",10081011
Authorization Bypass Through User-Controlled Key - (639),77,10081011639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.Insecure Direct Object Reference / IDORHorizontal Authorization,10081011
External Control of Critical State Data - (642),78,10081011642,"The software stores security-critical state information about its users, or the software itself, in a location that is accessible to unauthorized actors.",10081011
Use of Non-Canonical URL Paths for Authorization Decisions - (647),79,10081011647,The software defines policy namespaces and makes authorization decisions based on the assumption that a URL is canonical. This can allow a non-canonical URL to bypass the authorization.,10081011
Insufficient Compartmentalization - (653),80,10081011653,"The product does not sufficiently compartmentalize functionality or processes that require different privilege levels, rights, or permissions.Separation of Privilege",10081011
Reliance on Security Through Obscurity - (656),81,10081011656,"The software uses a protection mechanism whose strength depends heavily on its obscurity, such that knowledge of its algorithms or key data is sufficient to defeat the mechanism.Never Assuming your secrets are safe",10081011
Exposure of Resource to Wrong Sphere - (668),82,10081011668,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource.",10081011
Incorrect Resource Transfer Between Spheres - (669),83,10081011669,"The product does not properly transfer a resource/behavior to another sphere, or improperly imports a resource/behavior from another sphere, in a manner that provides unintended control over that resource.",10081011
Lack of Administrator Control over Security - (671),84,10081011671,The product uses security features in a way that prevents the product's administrator from tailoring security settings to reflect the environment in which the product is being used. This introduces resultant weaknesses or prevents it from operating at a level of security that is desired by the administrator.,10081011
External Influence of Sphere Definition - (673),85,10081011673,The product does not prevent the definition of control spheres from external actors.,10081011
Incorrect Ownership Assignment - (708),86,10081011708,"The software assigns an owner to a resource, but the owner is outside of the intended control sphere.",10081011
Incorrect Permission Assignment for Critical Resource - (732),87,10081011732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.,10081011
Allocation of Resources Without Limits or Throttling - (770),88,10081011770,"The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on the size or number of resources that can be allocated, in violation of the intended security policy for that actor.",10081011
Exposed IOCTL with Insufficient Access Control - (782),89,10081011782,"The software implements an IOCTL with functionality that should be restricted, but it does not properly enforce access control for the IOCTL.",10081011
Improper Control of Document Type Definition - (827),90,10081011827,"The software does not restrict a reference to a Document Type Definition (DTD) to the intended control sphere. This might allow attackers to reference arbitrary DTDs, possibly causing the software to expose files, consume excessive system resources, or execute arbitrary http requests on behalf of the attacker.",10081011
Missing Authorization - (862),91,10081011862,The software does not perform an authorization check when an actor attempts to access a resource or perform an action.AuthZ,10081011
Incorrect Authorization - (863),92,10081011863,"The software performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. This allows attackers to bypass intended access restrictions.AuthZ",10081011
Storage of Sensitive Data in a Mechanism without Access Control - (921),93,10081011921,The software stores sensitive information in a file system or device that does not have built-in access control.,10081011
Improper Restriction of Communication Channel to Intended Endpoints - (923),94,10081011923,"The software establishes a communication channel to (or from) an endpoint for privileged or protected operations, but it does not properly ensure that it is communicating with the correct endpoint.",10081011
Improper Authorization in Handler for Custom URL Scheme - (939),95,10081011939,"The software uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme.",10081011
Permissive Cross-domain Policy with Untrusted Domains - (942),96,10081011942,The software uses a cross-domain policy file that includes domains that should not be trusted.,10081011
Cross Cutting - (1012),97,10081012,"Weaknesses in this category are related to the design and architecture of multiple security tactics and how they affect a system. For example, information exposure can impact the Limit Access and Limit Exposure security tactics. The weaknesses in this category could lead to a degradation of the quality of many capabilities if they are not addressed when designing or implementing a secure architecture.",0
Observable Timing Discrepancy - (208),98,10081012208,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not.",10081012
Missing Report of Error Condition - (392),99,10081012392,The software encounters an error but does not provide a status code or return value to indicate that an error has occurred.,10081012
Improper Cleanup on Thrown Exception - (460),100,10081012460,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow.",10081012
Missing Standardized Error Handling Mechanism - (544),101,10081012544,"The software does not use a standardized method for handling errors throughout the code, which might introduce inconsistent error handling and resultant weaknesses.",10081012
Client-Side Enforcement of Server-Side Security - (602),102,10081012602,The software is composed of a server that relies on the client to implement a mechanism that is intended to protect the server.,10081012
Improper Check or Handling of Exceptional Conditions - (703),103,10081012703,The software does not properly anticipate or handle exceptional conditions that rarely occur during normal operation of the software.,10081012
Improper Check for Unusual or Exceptional Conditions - (754),104,10081012754,The software does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the software.,10081012
Reliance on Cookies without Validation and Integrity Checking in a Security Decision - (784),105,10081012784,"The application uses a protection mechanism that relies on the existence or values of a cookie, but it does not properly ensure that the cookie is valid for the associated user.",10081012
Reliance on Untrusted Inputs in a Security Decision - (807),106,10081012807,"The application uses a protection mechanism that relies on the existence or values of an input, but the input can be modified by an untrusted actor in a way that bypasses the protection mechanism.",10081012
Encrypt Data - (1013),107,10081013,Weaknesses in this category are related to the design and architecture of data confidentiality in a system. Frequently these deal with the use of encryption libraries. The weaknesses in this category could lead to a degradation of the quality data encryption if they are not addressed when designing or implementing a secure architecture.,0
Unprotected Storage of Credentials - (256),108,10081013256,Storing a password in plaintext may result in a system compromise.,10081013
Storing Passwords in a Recoverable Format - (257),109,10081013257,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts.",10081013
Password in Configuration File - (260),110,10081013260,The software stores a password in a configuration file that might be accessible to actors who do not know the password.,10081013
Weak Encoding for Password - (261),111,10081013261,Obscuring a password with a trivial encoding does not protect the password.,10081013
Missing Encryption of Sensitive Data - (311),112,10081013311,The software does not encrypt sensitive or critical information before storage or transmission.,10081013
Cleartext Storage of Sensitive Information - (312),113,10081013312,The application stores sensitive information in cleartext within a resource that might be accessible to another control sphere.,10081013
Cleartext Storage in a File or on Disk - (313),114,10081013313,"The application stores sensitive information in cleartext in a file, or on disk.",10081013
Cleartext Storage in the Registry - (314),115,10081013314,The application stores sensitive information in cleartext in the registry.,10081013
Cleartext Storage of Sensitive Information in a Cookie - (315),116,10081013315,The application stores sensitive information in cleartext in a cookie.,10081013
Cleartext Storage of Sensitive Information in Memory - (316),117,10081013316,The application stores sensitive information in cleartext in memory.,10081013
Cleartext Storage of Sensitive Information in GUI - (317),118,10081013317,The application stores sensitive information in cleartext within the GUI.,10081013
Cleartext Storage of Sensitive Information in Executable - (318),119,10081013318,The application stores sensitive information in cleartext in an executable.,10081013
Cleartext Transmission of Sensitive Information - (319),120,10081013319,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,10081013
Use of Hard-coded Cryptographic Key - (321),121,10081013321,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.,10081013
"Reusing a Nonce, Key Pair in Encryption - (323)",122,10081013323,Nonces should be used for the present occasion and only once.,10081013
Use of a Key Past its Expiration Date - (324),123,10081013324,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key.",10081013
Missing Required Cryptographic Step - (325),124,10081013325,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by that algorithm.",10081013
Inadequate Encryption Strength - (326),125,10081013326,"The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required.",10081013
Use of a Broken or Risky Cryptographic Algorithm - (327),126,10081013327,The use of a broken or risky cryptographic algorithm is an unnecessary risk that may result in the exposure of sensitive information.,10081013
Reversible One-Way Hash - (328),127,10081013328,"The product uses a hashing algorithm that produces a hash value that can be used to determine the original input, or to find an input that can produce the same hash, more efficiently than brute force techniques.",10081013
Use of Insufficiently Random Values - (330),128,10081013330,The software uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.,10081013
Insufficient Entropy - (331),129,10081013331,"The software uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.",10081013
Insufficient Entropy in PRNG - (332),130,10081013332,"The lack of entropy available for, or used by, a Pseudo-Random Number Generator (PRNG) can be a stability and security threat.",10081013
Improper Handling of Insufficient Entropy in TRNG - (333),131,10081013333,True random number generators (TRNG) generally have a limited source of entropy and therefore can fail or block.,10081013
Small Space of Random Values - (334),132,10081013334,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",10081013
Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG) - (335),133,10081013335,The software uses a Pseudo-Random Number Generator (PRNG) that does not correctly manage seeds.,10081013
Same Seed in Pseudo-Random Number Generator (PRNG) - (336),134,10081013336,A Pseudo-Random Number Generator (PRNG) uses the same seed each time the product is initialized.,10081013
Predictable Seed in Pseudo-Random Number Generator (PRNG) - (337),135,10081013337,"A Pseudo-Random Number Generator (PRNG) is initialized from a predictable seed, such as the process ID or system time.",10081013
Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG) - (338),136,10081013338,"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",10081013
Small Seed Space in PRNG - (339),137,10081013339,A PRNG uses a relatively small space of seeds.,10081013
Improper Verification of Cryptographic Signature - (347),138,10081013347,"The software does not verify, or incorrectly verifies, the cryptographic signature for data.",10081013
Insufficiently Protected Credentials - (522),139,10081013522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval.",10081013
Unprotected Transport of Credentials - (523),140,10081013523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,10081013
Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade') - (757),141,10081013757,"A protocol or its implementation supports interaction between multiple actors and allows those actors to negotiate which algorithm should be used as a protection mechanism such as encryption or authentication, but it does not select the strongest algorithm that is available to both parties.",10081013
Use of a One-Way Hash without a Salt - (759),142,10081013759,"The software uses a one-way cryptographic hash against an input that should not be reversible, such as a password, but the software does not also use a salt as part of the input.",10081013
Use of a One-Way Hash with a Predictable Salt - (760),143,10081013760,"The software uses a one-way cryptographic hash against an input that should not be reversible, such as a password, but the software uses a predictable salt as part of the input.",10081013
Use of RSA Algorithm without OAEP - (780),144,10081013780,"The software uses the RSA algorithm but does not incorporate Optimal Asymmetric Encryption Padding (OAEP), which might weaken the encryption.",10081013
Insecure Storage of Sensitive Information - (922),145,10081013922,The software stores sensitive information without properly limiting read or write access by unauthorized actors.,10081013
Identify Actors - (1014),146,10081014,Weaknesses in this category are related to the design and architecture of a system's identification management components. Frequently these deal with verifying that external agents provide inputs into the system. The weaknesses in this category could lead to a degradation of the quality of identification management if they are not addressed when designing or implementing a secure architecture.,0
Improper Certificate Validation - (295),147,10081014295,"The software does not validate, or incorrectly validates, a certificate.",10081014
Improper Following of a Certificate's Chain of Trust - (296),148,10081014296,"The software does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate.",10081014
Improper Validation of Certificate with Host Mismatch - (297),149,10081014297,"The software communicates with a host that provides a certificate, but the software does not properly ensure that the certificate is actually associated with that host.",10081014
Improper Validation of Certificate Expiration - (298),150,10081014298,"A certificate expiration is not validated or is incorrectly validated, so trust may be assigned to certificates that have been abandoned due to age.",10081014
Improper Check for Certificate Revocation - (299),151,10081014299,"The software does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised.",10081014
Insufficient Verification of Data Authenticity - (345),152,10081014345,"The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data.",10081014
Origin Validation Error - (346),153,10081014346,The software does not properly verify that the source of data or communication is valid.,10081014
Missing Check for Certificate Revocation after Initial Check - (370),154,10081014370,"The software does not check the revocation status of a certificate after its initial revocation check, which can cause the software to perform privileged actions even after the certificate is revoked at a later time.",10081014
Unintended Proxy or Intermediary ('Confused Deputy') - (441),155,10081014441,"The software receives a request, message, or directive from an upstream component, but the software does not sufficiently preserve the original source of the request before forwarding the request to an external actor that is outside of the software's control sphere. This causes the software to appear to be the source of the request, leading it to act as a proxy or other intermediary between the upstream component and the external actor.Confused Deputy",10081014
Missing Validation of OpenSSL Certificate - (599),156,10081014599,The software uses OpenSSL and trusts or uses a certificate without using the SSL_get_verify_result() function to ensure that the certificate satisfies all necessary security requirements.,10081014
Improper Verification of Source of a Communication Channel - (940),157,10081014940,"The software establishes a communication channel to handle an incoming request that has been initiated by an actor, but it does not properly verify that the request is coming from the expected origin.",10081014
Incorrectly Specified Destination in a Communication Channel - (941),158,10081014941,"The software creates a communication channel to initiate an outgoing request to an actor, but it does not correctly specify the intended destination for that actor.",10081014
Limit Access - (1015),159,10081015,"Weaknesses in this category are related to the design and architecture of system resources. Frequently these deal with restricting the amount of resources that are accessed by actors, such as memory, network connections, CPU or access points. The weaknesses in this category could lead to a degradation of the quality of authentication if they are not addressed when designing or implementing a secure architecture.",0
Exposure of Sensitive Information Through Sent Data - (201),160,10081015201,"The code transmits data to another actor, but the data contains sensitive information that should not be accessible to the actor that is receiving the data.",10081015
Generation of Error Message Containing Sensitive Information - (209),161,10081015209,"The software generates an error message that includes sensitive information about its environment, users, or associated data.",10081015
Improper Removal of Sensitive Information Before Storage or Transfer - (212),162,10081015212,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors.",10081015
Creation of chroot Jail Without Changing Working Directory - (243),163,10081015243,"The program uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail.",10081015
Execution with Unnecessary Privileges - (250),164,10081015250,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses.",10081015
Externally Controlled Reference to a Resource in Another Sphere - (610),165,10081015610,The product uses an externally controlled name or reference that resolves to a resource that is outside of the intended control sphere.,10081015
Improper Restriction of XML External Entity Reference - (611),166,10081015611,"The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.XXE",10081015
External Control of File Name or Path - (73),167,1008101573,The software allows user input to control or influence paths or file names that are used in filesystem operations.,10081015
Limit Exposure - (1016),168,10081016,Weaknesses in this category are related to the design and architecture of the entry points to a system. Frequently these deal with minimizing the attack surface through designing the system with the least needed amount of entry points. The weaknesses in this category could lead to a degradation of a system's defenses if they are not addressed when designing or implementing a secure architecture.,0
Self-generated Error Message Containing Sensitive Information - (210),169,10081016210,The software identifies an error condition and creates its own diagnostic or error messages that contain sensitive information.,10081016
Externally-Generated Error Message Containing Sensitive Information - (211),170,10081016211,"The application performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the application, such as an error generated by the programming language interpreter that the software uses. The error can contain sensitive system information.",10081016
Invocation of Process Using Visible Sensitive Information - (214),171,10081016214,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system.",10081016
Server-generated Error Message Containing Sensitive Information - (550),172,10081016550,"Certain conditions, such as network failure, will cause a server error message to be displayed.",10081016
Inclusion of Functionality from Untrusted Control Sphere - (829),173,10081016829,"The software imports, requires, or includes executable functionality (such as a library) from a source that is outside of the intended control sphere.",10081016
Inclusion of Web Functionality from an Untrusted Source - (830),174,10081016830,"The software includes web functionality (such as a web widget) from another domain, which causes it to operate within the domain of the software, potentially granting total access and control of the software to the untrusted source.",10081016
Lock Computer - (1017),175,10081017,Weaknesses in this category are related to the design and architecture of a system's lockout mechanism. Frequently these deal with scenarios that take effect in case of multiple failed attempts to access a given resource. The weaknesses in this category could lead to a degradation of access to system assets if they are not addressed when designing or implementing a secure architecture.,0
Overly Restrictive Account Lockout Mechanism - (645),176,10081017645,"The software contains an account lockout protection mechanism, but the mechanism is too restrictive and can be triggered too easily, which allows attackers to deny service to legitimate users by causing their accounts to be locked out.",10081017
Manage User Sessions - (1018),177,10081018,Weaknesses in this category are related to the design and architecture of session management. Frequently these deal with the information or status about each user and their access rights for the duration of multiple requests. The weaknesses in this category could lead to a degradation of the quality of session management if they are not addressed when designing or implementing a secure architecture.,0
Session Fixation - (384),178,10081018384,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions.",10081018
Exposure of Data Element to Wrong Session - (488),179,10081018488,"The product does not sufficiently enforce boundaries between the states of different sessions, causing data to be provided to, or used by, the wrong session.",10081018
