"brand","model","class","type"
"moxa","nport 5130","h","SDS"
"moxa","nport 5130a","h","SDS"
"moxa","nport 5150","h","SDS"
"moxa","nport 5150a1-m12-ct-t","h","SDS"
"moxa","nport 5150a1-m12-ct","h","SDS"
"moxa","nport 5150a1-m12-t","h","SDS"
"moxa","nport 5150a1-m12","h","SDS"
"moxa","nport 5150a","h","SDS"
"moxa","nport 5210a","h","SDS"
"moxa","nport 5230","h","SDS"
"moxa","nport 5230a","h","SDS"
"moxa","nport 5232","h","SDS"
"moxa","nport 5232i","h","SDS"
"moxa","nport 5250a1-m12-ct-t","h","SDS"
"moxa","nport 5250a1-m12-ct","h","SDS"
"moxa","nport 5250a1-m12-t","h","SDS"
"moxa","nport 5250a1-m12","h","SDS"
"moxa","nport 5250a","h","SDS"
"moxa","nport 5410","h","SDS"
"moxa","nport 5430","h","SDS"
"moxa","nport 5430i","h","SDS"
"moxa","nport 5450a1-m12-ct-t","h","SDS"
"moxa","nport 5450a1-m12-ct","h","SDS"
"moxa","nport 5450a1-m12-t","h","SDS"
"moxa","nport 5450a1-m12","h","SDS"
"moxa","nport 5450i-t","h","SDS"
"moxa","nport 5450i","h","SDS"
"moxa","nport 5610-8-dtl","h","SDS"
"moxa","nport 5610","h","SDS"
"moxa","nport 5630","h","SDS"
"moxa","nport 5650-8-dtl","h","SDS"
"moxa","nport 5650","h","SDS"
"moxa","nport 5650i-8-dtl","h","SDS"
"moxa","nport 6150-t","h","SDS"
"moxa","nport 6150","h","SDS"
"moxa","nport p5110a","h","SDS"
"moxa","nport w2150a","h","SDS"
"moxa","nport w2250a","h","SDS"
"perle","lanstream serial servers","h","SDS"
"siemens","tim 1531 irc","h","RTU"
"yokogawa","field wireless device opc server","h","OPC_S"
"sf-auto","c300-2s0007","h","VFD"
"sf-auto","c300a-2s0015","h","VFD"
"sf-auto","c300-2s0015","h","VFD"
"sf-auto","c300a-2s0022","h","VFD"
"advantech","webop","a","UnkICS"
"advantech","webaccess/nms","a","UnkICS"
"omron","cx-flnet ","a","UnkICS"
"omron","cx-programmer","a","UnkICS"
"omron","cx-server","a","UnkICS"
"omron","cx-supervisor","a","UnkICS"
"rockwell","9328-ccwdevpte","h","UnkICS"
"rockwell","9328-ccwdevzhe","h","UnkICS"
"rockwell","allen-bradley l30erms","h","UnkICS"
"rockwell","connected components workbench","a","UnkICS"
"rockwell","softlogix controllers","a","UnkICS"
"rockwell","rslogix micro starter lite","a","UnkICS"
"schneider","stb dio stbnic2311","a","UnkICS"
"schneider","stb dio stbnic2212","a","UnkICS"
"schneider","unity pro","a","UnkICS"
"schneider","unityloader","a","UnkICS"
"advantech","webaccess","a","SCADA"
"schneider","vijeo citect","a","UnkICS"
"rockwell","1763-l16awa series a","f","UnkICS"
"rockwell","1763-l16awa series b","f","UnkICS"
"rockwell","1763-l16bwa series a","f","UnkICS"
"rockwell","1763-l16dwd series a","f","UnkICS"
"rockwell","1763-l16dwd series b","f","UnkICS"
"rockwell","1766-l32awaa series a","f","UnkICS"
"rockwell","1766-l32awaa series b","f","UnkICS"
"rockwell","1766-l32awa series a","f","UnkICS"
"rockwell","1766-l32bwaa series a","f","UnkICS"
"rockwell","1766-l32bwaa series b","f","UnkICS"
"rockwell","1766-l32bwa series a","f","UnkICS"
"rockwell","1766-l32bwa series b","f","UnkICS"
"rockwell","1766-l32bxba series a","f","UnkICS"
"rockwell","1766-l32bxba series b","f","UnkICS"
"rockwell","1766-l32bxb series a","f","UnkICS"
"rockwell","1766-l32bxb series b","f","UnkICS"
"schneider","somove lite","a","SCADA"
"schneider","twidosuite","a","UnkICS"
"schneider","wonderware intouch access anywhere server","a","SCADA"
"schneider","wonderware intouch 2014","a","SCADA"
"schneider","wonderware historian","a","UnkICS"
"schneider","opc factory server tlxcdsuofs","h","UnkICS"
"schneider","micom s1 studio","a","UnkICS"
"schneider","ion7500","h","UnkICS"
"siemens","simatic rf-manager 2008","a","UnkICS"
"siemens","simatic cp 44x-1 redundant network access modules","a","UnkICS"
"siemens","simatic step 7","a","UnkICS"
"siemens","simatic step 7 micro/win smart","a","UnkICS"
"siemens","simatic wincc oa operator","a","UnkICS"
"siemens","simatic route control","a","UnkICS"
"siemens","simatic wincc oa ui","a","UnkICS"
"siemens","simatic wincc open architecture","a","UnkICS"
"siemens","simatic wincc runtime","a","UnkICS"
"siemens","simatic wincc runtime professional","a","UnkICS"
"siemens","simatic wincc sm@rtclient","a","UnkICS"
"siemens","simatic wincc sm@rtclient lite","a","UnkICS"
"schneider","somove","a","SCADA"
"sangrong","3130p","h","DTU"
"sangrong","6530p","h","DTU"
"sangrong","3150r","h","DTU"
"sangrong","3100r","h","DTU"
"sangrong","6550r","h","DTU"
"sangrong","8150r","h","DTU"
"sangrong","5150r","h","DTU"
"schneider","tsxefacc2070","h","PLC"
"schneider","tsxefacc7","h","PLC"
"sf-auto","c300-2s0022","h","VFD"
"sf-auto","csc-103e","h","RPD"
"sf-auto","csc-109a","h","RPD"
"sf-auto","csc-121a","h","RPD"
"sf-auto","csc-121c","h","RPD"
"sf-auto","csc-122a","h","RPD"
"sf-auto","csc-122b","h","RPD"
"sf-auto","csc-122d","h","RPD"
"sf-auto","csc-122m","h","RPD"
"sf-auto","csc-123a","h","RPD"
"sf-auto","csc-125a","h","RPD"
"sf-auto","csc-126a","h","RPD"
"sf-auto","csc-161a","h","RPD"
"sf-auto","csc-161b","h","RPD"
"sf-auto","csc-162a","h","RPD"
"sf-auto","csc-163a","h","RPD"
"sf-auto","csc-163b","h","RPD"
"sf-auto","csc-163t","h","RPD"
"sf-auto","csc-166a","h","RPD"
"sf-auto","csc-167a","h","RPD"
"sf-auto","csc-167t","h","RPD"
"sf-auto","csc-165a","h","RPD"
"sf-auto","e780k-4t0075","h","VFD"
"sf-auto","e780k-4t0185","h","VFD"
"sf-auto","e550-2s0007","h","VFD"
"sf-auto","e550-2s0004","h","VFD"
"sf-auto","e550-2s0015","h","VFD"
"sf-auto","e550-2s0022","h","VFD"
"sf-auto","e550-2s0030","h","VFD"
"sf-auto","e550-2s0040","h","VFD"
"sf-auto","e550-4t0040","h","VFD"
"sf-auto","e550-4t0030","h","VFD"
"sf-auto","e550-4t0022","h","VFD"
"sf-auto","e550-4t0015","h","VFD"
"sf-auto","e550-4t0007","h","VFD"
"sf-auto","e380-4t0015","h","VFD"
"sf-auto","e380-4t0022","h","VFD"
"sf-auto","c300a-4t0007","h","VFD"
"sf-auto","c300-4t0007","h","VFD"
"sf-auto","c300a-4t0015","h","VFD"
"sf-auto","c300-4t0015","h","VFD"
"sf-auto","c320-4t0015","h","VFD"
"sf-auto","c320-4t0022","h","VFD"
"sf-auto","m320-4t0037","h","VFD"
"sf-auto","m320-4t0055","h","VFD"
"sf-auto","m320-4t0075","h","VFD"
"sf-auto","m320-4t0110","h","VFD"
"sf-auto","h320-2s0007","h","VFD"
"sf-auto","h320-2s0015","h","VFD"
"sf-auto","h320-2s0022","h","VFD"
"sf-auto","h320-4t0007","h","VFD"
"sf-auto","h320-4t0015","h","VFD"
"sf-auto","e680-4t0075","h","VFD"
"sf-auto","e680-4t0110","h","VFD"
"sf-auto","e680k-4t0075","h","VFD"
"sf-auto","e680k-4t0110","h","VFD"
"sf-auto","e680k-4t0370","h","VFD"
"schneider","tsxefacc99","h","PLC"
"abb","ac31 series","h","PLC"
"schneider","tsxefcf01","h","PLC"
"advantech","apax-5028","h","PLC"
"schneider","tsxefcf03","h","PLC"
"sangrong","3130p gprs","h","DTU"
"sangrong","saro1010ep","h","DTU"
"sangrong","saro1010p","h","DTU"
"sangrong","saro6530ep","h","DTU"
"sangrong","saro6550p","h","DTU"
"sangrong","saro3150ep","h","DTU"
"sangrong","saro350","h","DTU"
"sangrong","saro3150p","h","DTU"
"sangrong","saro6550ep","h","DTU"
"sf-auto","csgc-3000","h","RPD"
"sf-auto","csfm-2002","h","RPD"
"sf-auto","csc-101a","h","RPD"
"sf-auto","csc-101b","h","RPD"
"sf-auto","csc-101as","h","RPD"
"sf-auto","csc-101bs","h","RPD"
"sf-auto","csc-101cs","h","RPD"
"sf-auto","csc-101ds","h","RPD"
"sf-auto","csc-102a","h","RPD"
"sf-auto","csc-102b","h","RPD"
"sf-auto","csc-102as","h","RPD"
"sf-auto","csc-102bs","h","RPD"
"sf-auto","csc-103a","h","RPD"
"sf-auto","csc-103b","h","RPD"
"sf-auto","csc-103c","h","RPD"
"sf-auto","csc-103d","h","RPD"
"sf-auto","csc-103ac","h","RPD"
"sf-auto","csc-103bc","h","RPD"
"sf-auto","e380-4t0037","h","VFD"
"sf-auto","e380-4t0055","h","VFD"
"sf-auto","e380-4t0075","h","VFD"
"sf-auto","e380-4t0110","h","VFD"
"sf-auto","e380-4t0150","h","VFD"
"sf-auto","e380-4t0185","h","VFD"
"sf-auto","e380-4t0220","h","VFD"
"sf-auto","e380-4t0300","h","VFD"
"sf-auto","e380-4t0450","h","VFD"
"sf-auto","e380-4t0550","h","VFD"
"sf-auto","e380-4t0750","h","VFD"
"sf-auto","e380-4t0900","h","VFD"
"sf-auto","e380-4t1100","h","VFD"
"sf-auto","e380-4t1320","h","VFD"
"sf-auto","e380-4t1600","h","VFD"
"sf-auto","e380-4t1850","h","VFD"
"sf-auto","e380-4t2000","h","VFD"
"sf-auto","c300a-2s0004","h","VFD"
"sf-auto","c300-2s0004","h","VFD"
"sf-auto","c300a-2s0007","h","VFD"
"schneider","tsxemf16dt2","h","PLC"
"abb","s4 opc server","a","OPC_S"
"abb","acs580-04-585a-4","h","VFD"
"abb","rtu560","h","RTU"
"abb","500","h","OpSat"
"abb","acs580-04-820a-4","h","VFD"
"abb","acs580-01-430a-4","h","VFD"
"abb","acs580-01-363a-4","h","VFD"
"abb","acs580-04-650a-4","h","VFD"
"abb","acs580-04-505a-4+e210","h","VFD"
"abb","acs580-04-880a-4","h","VFD"
"abb","acs580-04-725a-4","h","VFD"
"abb","acs580-04-585a-4+e210","h","VFD"
"abb","acs310-03e-01a3-4","h","VFD"
"abb","acs310-03e-48a4-4","h","VFD"
"abb","acs310-03e-17a2-4","h","VFD"
"abb","robotstudio s4","a","UnkICS"
"abb","webware server","a","UnkICS"
"abb","robview 5","a","UnkICS"
"abb","robotstudio lite","a","UnkICS"
"abb","webware sdk","a","UnkICS"
"abb","datamanager ","a","UnkICS"
"abb","pcm600","a","UnkICS"
"abb","robotstudio","a","UnkICS"
"abb","pickmaster 3 ","a","UnkICS"
"abb","pickmaster 5","a","UnkICS"
"abb","interlink module","a","UnkICS"
"abb","acs310-03e-09a7-4","h","VFD"
"abb","acs310-03e-04a5-4","h","VFD"
"abb","acs310-03e-02a1-4","h","VFD"
"abb","acs310-03e-34a1-4","h","VFD"
"abb","acs310-03e-06a2-4","h","VFD"
"abb","acs310-03e-41a8-4","h","VFD"
"abb","acs310-03e-25a4-4","h","VFD"
"abb","acs310-03e-13a8-4","h","VFD"
"abb","acs310-03e-08a0-4","h","VFD"
"abb","acs310-03e-03a6-4","h","VFD"
"abb","acs310-03e-02a6-4","h","VFD"
"abb","acs355-01e-02a4-2","h","VFD"
"abb","acs355-03e-44a0-4","h","VFD"
"abb","acs355-03e-38a0-4","h","VFD"
"abb","acs355-03e-15a6-4","h","VFD"
"abb","acs355-03e-08a8-4","h","VFD"
"abb","acs355-03e-05a6-4+b063","h","VFD"
"abb","acs355-03e-03a3-4","h","VFD"
"abb","acs355-03e-01a2-4","h","VFD"
"abb","acs355-03e-24a4-2","h","VFD"
"abb","acs355-03e-09a8-2","h","VFD"
"abb","acs355-03e-06a7-2","h","VFD"
"abb","acs355-03e-02a4-2","h","VFD"
"abb","acs355-01e-06a7-2","h","VFD"
"abb","acs355-03e-23a1-4","h","VFD"
"abb","acs355-03e-08a8-4+b063","h","VFD"
"abb","acs355-03e-07a3-4","h","VFD"
"abb","acs355-03e-04a1-4","h","VFD"
"abb","acs355-03e-01a9-4","h","VFD"
"abb","acs355-03e-31a0-2","h","VFD"
"abb","acs355-03e-13a3-2","h","VFD"
"abb","acs355-03e-03a5-2","h","VFD"
"abb","acs355-01e-07a5-2","h","VFD"
"abb","acs355-03e-31a0-4","h","VFD"
"abb","acs355-03e-07a3-4+b063","h","VFD"
"abb","acs355-03e-12a5-4","h","VFD"
"abb","acs355-03e-02a4-4","h","VFD"
"abb","acs355-03e-46a2-2","h","VFD"
"abb","acs355-03e-17a6-2","h","VFD"
"abb","acs355-03e-07a5-2","h","VFD"
"abb","acs355-03e-04a7-2","h","VFD"
"abb","acs355-01e-09a8-2","h","VFD"
"abb","acs355-01e-04a7-2","h","VFD"
"abb","acs550-01-246a-4+b055","h","VFD"
"abb","acs550-01-072a-4","h","VFD"
"abb","acs550-01-015a-4","h","VFD"
"abb","acs550-01-04a1-4","h","VFD"
"abb","acs550-01-195a-4","h","VFD"
"abb","acs550-01-195a-4+b055","h","VFD"
"abb","acs550-01-031a-4","h","VFD"
"abb","acs550-01-125a-4+b055","h","VFD"
"abb","acs550-01-012a-4","h","VFD"
"abb","acs550-01-059a-4+b055","h","VFD"
"abb","acs550-01-031a-4+b055","h","VFD"
"abb","acs550-01-08a8-4+b055","h","VFD"
"abb","acs550-01-03a3-4+b055","h","VFD"
"abb","acs550-01-072a-4+b055","h","VFD"
"abb","acs550-01-023a-4","h","VFD"
"abb","acs550-01-06a9-4","h","VFD"
"abb","acs550-01-05a4-4","h","VFD"
"abb","acs550-01-290a-4+b055","h","VFD"
"abb","acs550-01-157a-4+b055","h","VFD"
"abb","acs550-01-045a-4","h","VFD"
"abb","acs550-01-038a-4+b055","h","VFD"
"abb","acs550-01-012a-4+b055","h","VFD"
"abb","acs550-01-05a4-4+b055","h","VFD"
"abb","acs550-01-04a1-4+b055","h","VFD"
"abb","acs550-01-059a-4","h","VFD"
"abb","acs550-01-180a-4","h","VFD"
"abb","acs550-01-015a-4+b055","h","VFD"
"abb","acs550-01-06a9-4+b055","h","VFD"
"abb","acs550-01-023a-4+b055","h","VFD"
"abb","acs550-01-045a-4+b055","h","VFD"
"abb","ac500","h","PLC"
"abb","ac500-eco","h","PLC"
"abb","ac500-s","h","PLC"
"abb","ac500-xc","h","PLC"
"abb","hpc800","h","PLC"
"abb","pm865","h","PLC"
"abb","ac800f","h","DCS_C"
"abb","pc sdk","a","UnkICS"
"abb","quickteach","a","UnkICS"
"abb","robot communications runtime","a","UnkICS"
"abb","irc5 opc server","a","OPC_S"
"advantech","suisaccess ","a","UnkICS"
"advantech","webaccess scada","a","UnkICS"
"advantech","webaccess dashboard","a","UnkICS"
"advantech","adam-3656","h","RTU"
"advantech","apax-5580cds","h","PLC"
"advantech","tpc-1270","h","HMI"
"advantech","tpc-31","h","HMI"
"advantech","tpc-1250","h","HMI"
"advantech","tpc-1571","h","HMI"
"advantech","adam opc server","a","OPC_S"
"advantech","modbus tcp opc serve","a","OPC_S"
"advantech","modbus rtu opc server","a","OPC_S"
"advantech","vesp211-232","a","CPIE"
"advantech","vesp211-eu","a","CPIE"
"advantech","tpc-1582h","h","HMI"
"advantech","webop-2000g","h","HMI"
"advantech","webop-2080t","h","HMI"
"advantech","webop-2100t","h","HMI"
"advantech","webop-2100k","h","HMI"
"advantech","webop-2040k","h","HMI"
"advantech","webop-2040t","h","HMI"
"advantech","tpc-31t","h","HMI"
"beckhoff","tf3900","h","PLC"
"advantech","tpc-61t","h","HMI"
"advantech","wop-1043ck-p30q1ae","h","HMI"
"advantech","wop-2070t-n2ae","h","HMI"
"advantech","wop-1150ck-v40q1ae","h","HMI"
"advantech","wop-1120ck-v40q1ae","h","HMI"
"advantech","wop-1100ck-p40q1ae","h","HMI"
"advantech","wop-1080ck-v40q1ae","h","HMI"
"advantech","wop-3120t-c4ae","h","HMI"
"advantech","wop-3070t-c4ae","h","HMI"
"advantech","wop-2100t-s2ae","h","HMI"
"advantech","wop-1070ck-p40q1ae","h","HMI"
"advantech","fpm-2150g","h","HMI"
"advantech","fpm-3120tv-t","h","HMI"
"advantech","itm-5115r","h","HMI"
"advantech","itm-5115","h","HMI"
"advantech","itm-5117","h","HMI"
"advantech","tpc-671h","h","HMI"
"advantech","tpc-650h","h","HMI"
"advantech","tpc-651h","h","HMI"
"advantech","tpc-66sn","h","HMI"
"advantech","tpc-1071h","h","HMI"
"advantech","tpc-1271h","h","HMI"
"advantech","tpc-1571h","h","HMI"
"advantech","tpc-1250h","h","HMI"
"advantech","tpc-1251h","h","HMI"
"advantech","tpc-1270h","h","HMI"
"advantech","tpc-1261h","h","HMI"
"advantech","webop-1043ck","h","HMI"
"advantech","webop-1043cp","h","HMI"
"advantech","webop-3070t","h","HMI"
"advantech","webop-2057w","h","HMI"
"advantech","webop-2035w","h","HMI"
"advantech","webop-3000","h","HMI"
"advantech","webop-2050t","h","HMI"
"advantech","webop-1070ck","h","HMI"
"advantech","webop-2070t","h","HMI"
"advantech","tpc-8100tr","h","HMI"
"advantech","spc-1881wp","h","HMI"
"advantech","spc-1840wp","h","HMI"
"advantech","fpm-8151h","h","HMI"
"advantech","spc-2140wp","h","HMI"
"advantech","ippc-5211ws","h","HMI"
"advantech","webop-2070k","h","HMI"
"advantech","tpc-1250h-n2be","h","HMI"
"advantech","adam-3600","h","RTU"
"advantech","adam-3651","h","RTU"
"advantech","apax-5430","h","PLC"
"advantech","apax-5435","h","PLC"
"advantech","apax-5490","h","PLC"
"advantech","apax-5070","h","PLC"
"advantech","apax-5071","h","PLC"
"advantech","apax-5072","h","PLC"
"advantech","apax-5013","h","PLC"
"advantech","apax-5017","h","PLC"
"advantech","apax-5017h","h","PLC"
"advantech","apax-5018","h","PLC"
"advantech","apax-5040","h","PLC"
"advantech","apax-5045","h","PLC"
"advantech","apax-5046","h","PLC"
"advantech","apax-5046so","h","PLC"
"advantech","apax-5060","h","PLC"
"advantech","apax-5080","h","PLC"
"advantech","apax-5001","h","PLC"
"advantech","apax-5002","h","PLC"
"advantech","apax-5002l","h","PLC"
"advantech","apax-5342","h","PLC"
"advantech","adam-6018","h","ISensor"
"advantech","adam-6022","h","ISensor"
"advantech","adam-6024","h","ISensor"
"advantech","adam-6050w","h","ISensor"
"advantech","adam-6051","h","ISensor"
"advantech","adam-6050","h","ISensor"
"advantech","adam-6052","h","ISensor"
"advantech","adam-6060w","h","ISensor"
"advantech","adam-6017","h","ISensor"
"advantech","adam-6066","h","ISensor"
"advantech","eki-1224","h","CPIE"
"advantech","adam-6501","h","ISensor"
"advantech","eki-1321","h","CPIE"
"advantech","eki-1322","h","CPIE"
"advantech","eki-1361","h","CPIE"
"advantech","eki-1221","h","CPIE"
"advantech","eki-1222","h","CPIE"
"advantech","eki-6340","h","CPIE"
"advantech","eki-1362","h","CPIE"
"advantech","eki-1222d","h","CPIE"
"advantech","adam-6051w","h","ISensor"
"advantech","adam-6060","h","ISensor"
"advantech","adam-6015","h","ISensor"
"advantech","eki-1221d","h","CPIE"
"alarm.com","200","h","PLC"
"allen-bradley","1747-l552","h","PLC"
"allen-bradley","1747-l553","h","PLC"
"allen-bradley","1747-l551","h","PLC"
"schneider","tsxesf08t22","h","PLC"
"aviosys","9258wifi","h","UPS"
"beckhoff","tc1000b","h","PLC"
"beckhoff","cx2000","h","PLC"
